path,label,loaded,face_detected,fallback_used,x,y,w,h,face_area_ratio,crop_width,crop_height,crop_area_ratio,crop_aspect_ratio
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00589.jpg,real,True,True,False,40,52,174,174,0.462,242,238,0.8788,1.0168
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00595.jpg,real,True,True,False,37,56,177,177,0.478,247,235,0.8857,1.0511
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00601.jpg,real,True,True,False,39,51,179,179,0.4889,249,240,0.9119,1.0375
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00615.jpg,real,True,True,False,44,53,173,173,0.4567,241,237,0.8715,1.0169
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00625.jpg,real,True,True,False,46,55,164,164,0.4104,228,228,0.7932,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00628.jpg,real,True,True,False,42,48,177,177,0.478,247,243,0.9158,1.0165
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00635.jpg,real,True,True,False,44,56,165,165,0.4154,231,231,0.8142,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00639.jpg,real,True,True,False,52,59,173,173,0.4567,238,231,0.8389,1.0303
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00647.jpg,real,True,True,False,43,55,174,174,0.462,242,235,0.8678,1.0298
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00666.jpg,real,True,True,False,40,51,176,176,0.4727,246,240,0.9009,1.025
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00699.jpg,real,True,True,False,36,56,178,178,0.4835,248,235,0.8893,1.0553
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00704.jpg,real,True,True,False,44,45,179,179,0.4889,247,246,0.9272,1.0041
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00707.jpg,real,True,True,False,45,63,162,162,0.4005,226,225,0.7759,1.0044
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00720.jpg,real,True,True,False,41,56,175,175,0.4673,245,235,0.8785,1.0426
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00723.jpg,real,True,True,False,39,58,168,168,0.4307,234,231,0.8248,1.013
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00725.jpg,real,True,False,True,,,,,,,,,
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00739.jpg,real,True,True,False,45,58,160,160,0.3906,224,224,0.7656,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00744.jpg,real,True,True,False,48,61,156,156,0.3713,218,218,0.7252,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00757.jpg,real,True,True,False,41,53,176,176,0.4727,246,238,0.8934,1.0336
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00762.jpg,real,True,True,False,27,53,183,183,0.511,246,239,0.8971,1.0293
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00772.jpg,real,True,True,False,45,57,164,164,0.4104,228,228,0.7932,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00794.jpg,real,True,True,False,40,52,178,178,0.4835,248,239,0.9044,1.0377
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00801.jpg,real,True,True,False,42,62,169,169,0.4358,235,227,0.814,1.0352
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00803.jpg,real,True,False,True,,,,,,,,,
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00823.jpg,real,True,True,False,36,57,174,174,0.462,242,233,0.8604,1.0386
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00828.jpg,real,True,True,False,36,48,176,176,0.4727,246,243,0.9121,1.0123
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00829.jpg,real,True,True,False,37,43,182,182,0.5054,254,249,0.9651,1.0201
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00835.jpg,real,True,True,False,35,53,177,177,0.478,247,238,0.897,1.0378
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00849.jpg,real,True,True,False,39,51,177,177,0.478,247,240,0.9045,1.0292
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00855.jpg,real,True,True,False,40,50,175,175,0.4673,245,241,0.901,1.0166
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00858.jpg,real,True,True,False,54,64,148,148,0.3342,206,206,0.6475,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00862.jpg,real,True,True,False,40,52,178,178,0.4835,248,239,0.9044,1.0377
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00872.jpg,real,True,True,False,41,55,172,172,0.4514,240,235,0.8606,1.0213
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00879.jpg,real,True,True,False,41,53,177,177,0.478,247,238,0.897,1.0378
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00886.jpg,real,True,True,False,38,52,178,178,0.4835,248,239,0.9044,1.0377
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00888.jpg,real,True,True,False,45,56,170,170,0.441,238,234,0.8498,1.0171
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00901.jpg,real,True,True,False,41,55,172,172,0.4514,240,235,0.8606,1.0213
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00908.jpg,real,True,True,False,52,51,174,174,0.462,238,239,0.868,0.9958
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00911.jpg,real,True,True,False,50,60,166,166,0.4205,232,229,0.8107,1.0131
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00923.jpg,real,True,True,False,48,58,160,160,0.3906,224,224,0.7656,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00925.jpg,real,True,True,False,46,62,162,162,0.4005,226,226,0.7794,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00934.jpg,real,True,True,False,28,40,197,197,0.5922,256,255,0.9961,1.0039
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00936.jpg,real,True,True,False,47,57,168,168,0.4307,234,232,0.8284,1.0086
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00943.jpg,real,True,True,False,39,44,189,189,0.5451,254,249,0.9651,1.0201
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00950.jpg,real,True,True,False,46,56,165,165,0.4154,231,231,0.8142,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00971.jpg,real,True,True,False,63,70,152,152,0.3525,212,212,0.6858,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00973.jpg,real,True,True,False,46,61,163,163,0.4054,227,227,0.7863,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00974.jpg,real,True,True,False,48,60,164,164,0.4104,228,228,0.7932,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00985.jpg,real,True,True,False,53,67,136,136,0.2822,190,190,0.5508,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00987.jpg,real,True,True,False,38,56,179,179,0.4889,249,235,0.8929,1.0596
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_00988.jpg,real,True,True,False,47,56,164,164,0.4104,228,228,0.7932,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01004.jpg,real,True,True,False,42,54,174,174,0.462,242,236,0.8715,1.0254
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01026.jpg,real,True,True,False,48,58,166,166,0.4205,232,231,0.8177,1.0043
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01037.jpg,real,True,True,False,51,67,138,138,0.2906,192,192,0.5625,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01071.jpg,real,True,True,False,47,61,171,171,0.4462,239,229,0.8351,1.0437
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01080.jpg,real,True,True,False,31,40,196,196,0.5862,256,255,0.9961,1.0039
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01105.jpg,real,True,True,False,51,54,158,158,0.3809,220,220,0.7385,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01114.jpg,real,True,True,False,55,57,158,158,0.3809,220,220,0.7385,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01124.jpg,real,True,True,False,41,56,171,171,0.4462,239,234,0.8534,1.0214
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01128.jpg,real,True,True,False,46,55,164,164,0.4104,228,228,0.7932,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01154.jpg,real,True,True,False,40,56,173,173,0.4567,241,234,0.8605,1.0299
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01162.jpg,real,True,True,False,37,59,174,174,0.462,242,231,0.853,1.0476
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01179.jpg,real,True,True,False,42,55,169,169,0.4358,235,234,0.8391,1.0043
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01185.jpg,real,True,True,False,43,56,165,165,0.4154,231,231,0.8142,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01188.jpg,real,True,True,False,39,52,182,182,0.5054,253,240,0.9265,1.0542
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01201.jpg,real,True,True,False,50,65,153,153,0.3572,213,213,0.6923,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01221.jpg,real,True,True,False,41,58,165,165,0.4154,231,231,0.8142,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01239.jpg,real,True,True,False,37,47,183,183,0.511,255,245,0.9533,1.0408
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01261.jpg,real,True,False,True,,,,,,,,,
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01286.jpg,real,True,True,False,52,67,152,152,0.3525,212,212,0.6858,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01302.jpg,real,True,True,False,44,52,166,166,0.4205,232,232,0.8213,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01303.jpg,real,True,True,False,33,45,186,186,0.5279,256,248,0.9688,1.0323
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01307.jpg,real,True,True,False,43,56,166,166,0.4205,232,232,0.8213,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01315.jpg,real,True,True,False,36,50,179,179,0.4889,249,241,0.9157,1.0332
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01319.jpg,real,True,True,False,35,51,183,183,0.511,254,241,0.9341,1.0539
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01330.jpg,real,True,True,False,47,53,164,164,0.4104,228,228,0.7932,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01333.jpg,real,True,True,False,50,61,157,157,0.3761,219,219,0.7318,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01336.jpg,real,True,True,False,37,50,183,183,0.511,255,242,0.9416,1.0537
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01339.jpg,real,True,True,False,41,55,167,167,0.4256,233,233,0.8284,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01348.jpg,real,True,True,False,40,53,173,173,0.4567,241,237,0.8715,1.0169
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01352.jpg,real,True,True,False,58,69,147,147,0.3297,205,205,0.6413,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01354.jpg,real,True,True,False,37,48,183,183,0.511,255,244,0.9494,1.0451
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01359.jpg,real,True,True,False,37,51,179,179,0.4889,249,240,0.9119,1.0375
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01360.jpg,real,True,True,False,43,54,178,178,0.4835,248,237,0.8969,1.0464
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01370.jpg,real,True,True,False,34,45,182,182,0.5054,252,247,0.9498,1.0202
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01377.jpg,real,True,True,False,52,65,157,157,0.3761,219,219,0.7318,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01381.jpg,real,True,True,False,45,62,172,172,0.4514,240,228,0.835,1.0526
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01422.jpg,real,True,True,False,40,56,174,174,0.462,242,234,0.8641,1.0342
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01426.jpg,real,True,True,False,41,49,175,175,0.4673,245,242,0.9047,1.0124
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01429.jpg,real,True,True,False,41,52,175,175,0.4673,245,239,0.8935,1.0251
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01432.jpg,real,True,True,False,37,61,182,182,0.5054,254,231,0.8953,1.0996
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01445.jpg,real,True,True,False,36,50,180,180,0.4944,252,242,0.9305,1.0413
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01449.jpg,real,True,True,False,40,53,176,176,0.4727,246,238,0.8934,1.0336
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01450.jpg,real,True,False,True,,,,,,,,,
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01456.jpg,real,True,True,False,32,42,192,192,0.5625,256,252,0.9844,1.0159
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01467.jpg,real,True,True,False,27,45,201,201,0.6165,256,251,0.9805,1.0199
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01469.jpg,real,True,True,False,52,59,161,161,0.3955,225,225,0.7725,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01490.jpg,real,True,True,False,63,70,141,141,0.3034,197,197,0.5922,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01491.jpg,real,True,True,False,56,60,148,148,0.3342,206,206,0.6475,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01533.jpg,real,True,True,False,37,49,187,187,0.5336,256,244,0.9531,1.0492
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01536.jpg,real,True,True,False,40,52,174,174,0.462,242,238,0.8788,1.0168
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01548.jpg,real,True,True,False,42,56,170,170,0.441,238,234,0.8498,1.0171
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01551.jpg,real,True,False,True,,,,,,,,,
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01559.jpg,real,True,True,False,49,51,161,161,0.3955,225,225,0.7725,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01572.jpg,real,True,True,False,40,56,177,177,0.478,247,235,0.8857,1.0511
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01576.jpg,real,True,True,False,42,54,172,172,0.4514,240,236,0.8643,1.0169
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01589.jpg,real,True,True,False,33,49,179,179,0.4889,247,242,0.9121,1.0207
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01598.jpg,real,True,True,False,43,54,174,174,0.462,242,236,0.8715,1.0254
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01607.jpg,real,True,True,False,43,57,170,170,0.441,238,233,0.8462,1.0215
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01618.jpg,real,True,True,False,28,41,197,197,0.5922,256,254,0.9922,1.0079
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01632.jpg,real,True,False,True,,,,,,,,,
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01637.jpg,real,True,True,False,47,50,172,172,0.4514,240,240,0.8789,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01639.jpg,real,True,True,False,41,51,179,179,0.4889,249,240,0.9119,1.0375
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01660.jpg,real,True,True,False,39,51,175,175,0.4673,245,240,0.8972,1.0208
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01675.jpg,real,True,True,False,49,65,155,155,0.3666,217,217,0.7185,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01693.jpg,real,True,True,False,44,59,160,160,0.3906,224,224,0.7656,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01694.jpg,real,True,True,False,43,52,174,174,0.462,242,238,0.8788,1.0168
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01699.jpg,real,True,True,False,40,52,172,172,0.4514,240,238,0.8716,1.0084
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01741.jpg,real,True,True,False,43,55,165,165,0.4154,231,231,0.8142,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01772.jpg,real,True,True,False,46,55,171,171,0.4462,239,235,0.857,1.017
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01788.jpg,real,True,True,False,34,47,189,189,0.5451,256,246,0.9609,1.0407
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01789.jpg,real,True,True,False,52,65,160,160,0.3906,224,223,0.7622,1.0045
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01800.jpg,real,True,True,False,33,46,191,191,0.5567,256,248,0.9688,1.0323
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01802.jpg,real,True,True,False,34,49,178,178,0.4835,247,242,0.9121,1.0207
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01806.jpg,real,True,True,False,34,43,186,186,0.5279,256,250,0.9766,1.024
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01812.jpg,real,True,True,False,38,48,180,180,0.4944,252,244,0.9382,1.0328
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01814.jpg,real,True,False,True,,,,,,,,,
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01822.jpg,real,True,True,False,58,72,140,140,0.2991,196,196,0.5862,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01827.jpg,real,True,True,False,42,52,172,172,0.4514,240,238,0.8716,1.0084
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01832.jpg,real,True,True,False,46,64,165,165,0.4154,231,225,0.7931,1.0267
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01836.jpg,real,True,False,True,,,,,,,,,
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01843.jpg,real,True,True,False,33,43,183,183,0.511,252,249,0.9575,1.012
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01845.jpg,real,True,True,False,44,53,171,171,0.4462,239,237,0.8643,1.0084
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01846.jpg,real,True,True,False,46,55,172,172,0.4514,240,235,0.8606,1.0213
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01874.jpg,real,True,True,False,49,63,157,157,0.3761,219,219,0.7318,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01884.jpg,real,True,True,False,42,58,169,169,0.4358,235,231,0.8283,1.0173
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01901.jpg,real,True,False,True,,,,,,,,,
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01906.jpg,real,True,True,False,51,65,153,153,0.3572,213,213,0.6923,1.0
C:\Users\Akarsh\Desktop\SIH-ML-Models\data\real\real_01920.jpg,real,True,True,False,47,61,151,151,0.3479,211,211,0.6793,1.0
